Region,Kon,Alder,Fodelseregion,2022
0114 Upplands Väsby,totalt,16-64 år,totalt,5.0
0115 Vallentuna,totalt,16-64 år,totalt,2.4
0117 Österåker,totalt,16-64 år,totalt,2.6
0120 Värmdö,totalt,16-64 år,totalt,2.5
0123 Järfälla,totalt,16-64 år,totalt,5.5
0125 Ekerö,totalt,16-64 år,totalt,2.4
0126 Huddinge,totalt,16-64 år,totalt,4.9
0127 Botkyrka,totalt,16-64 år,totalt,7.8
0128 Salem,totalt,16-64 år,totalt,3.5
0136 Haninge,totalt,16-64 år,totalt,4.9
0138 Tyresö,totalt,16-64 år,totalt,3.2
0139 Upplands-Bro,totalt,16-64 år,totalt,5.2
0140 Nykvarn,totalt,16-64 år,totalt,2.7
0160 Täby,totalt,16-64 år,totalt,2.4
0162 Danderyd,totalt,16-64 år,totalt,2.3
0163 Sollentuna,totalt,16-64 år,totalt,3.9
0180 Stockholm,totalt,16-64 år,totalt,4.3
0181 Södertälje,totalt,16-64 år,totalt,8.1
0182 Nacka,totalt,16-64 år,totalt,2.7
0183 Sundbyberg,totalt,16-64 år,totalt,4.3
0184 Solna,totalt,16-64 år,totalt,2.9
0186 Lidingö,totalt,16-64 år,totalt,2.6
0187 Vaxholm,totalt,16-64 år,totalt,2.4
0188 Norrtälje,totalt,16-64 år,totalt,3.5
0191 Sigtuna,totalt,16-64 år,totalt,5.7
0192 Nynäshamn,totalt,16-64 år,totalt,4.5
0305 Håbo,totalt,16-64 år,totalt,2.8
0319 Älvkarleby,totalt,16-64 år,totalt,6.1
0330 Knivsta,totalt,16-64 år,totalt,2.6
0331 Heby,totalt,16-64 år,totalt,4.8
0360 Tierp,totalt,16-64 år,totalt,5.2
0380 Uppsala,totalt,16-64 år,totalt,4.4
0381 Enköping,totalt,16-64 år,totalt,4.7
0382 Östhammar,totalt,16-64 år,totalt,2.9
0428 Vingåker,totalt,16-64 år,totalt,6.4
0461 Gnesta,totalt,16-64 år,totalt,3.5
0480 Nyköping,totalt,16-64 år,totalt,5.7
0481 Oxelösund,totalt,16-64 år,totalt,6.1
0482 Flen,totalt,16-64 år,totalt,10.0
0483 Katrineholm,totalt,16-64 år,totalt,7.1
0484 Eskilstuna,totalt,16-64 år,totalt,8.9
0486 Strängnäs,totalt,16-64 år,totalt,4.6
0488 Trosa,totalt,16-64 år,totalt,2.6
0509 Ödeshög,totalt,16-64 år,totalt,3.3
0512 Ydre,totalt,16-64 år,totalt,2.9
0513 Kinda,totalt,16-64 år,totalt,3.3
0560 Boxholm,totalt,16-64 år,totalt,3.7
0561 Åtvidaberg,totalt,16-64 år,totalt,2.9
0562 Finspång,totalt,16-64 år,totalt,6.3
0563 Valdemarsvik,totalt,16-64 år,totalt,4.3
0580 Linköping,totalt,16-64 år,totalt,4.4
0581 Norrköping,totalt,16-64 år,totalt,6.8
0582 Söderköping,totalt,16-64 år,totalt,3.4
0583 Motala,totalt,16-64 år,totalt,5.1
0584 Vadstena,totalt,16-64 år,totalt,3.7
0586 Mjölby,totalt,16-64 år,totalt,3.7
0604 Aneby,totalt,16-64 år,totalt,3.8
0617 Gnosjö,totalt,16-64 år,totalt,3.1
0642 Mullsjö,totalt,16-64 år,totalt,2.7
0643 Habo,totalt,16-64 år,totalt,2.2
0662 Gislaved,totalt,16-64 år,totalt,4.5
0665 Vaggeryd,totalt,16-64 år,totalt,3.0
0680 Jönköping,totalt,16-64 år,totalt,3.6
0682 Nässjö,totalt,16-64 år,totalt,6.0
0683 Värnamo,totalt,16-64 år,totalt,3.4
0684 Sävsjö,totalt,16-64 år,totalt,5.0
0685 Vetlanda,totalt,16-64 år,totalt,4.1
0686 Eksjö,totalt,16-64 år,totalt,4.6
0687 Tranås,totalt,16-64 år,totalt,4.6
0760 Uppvidinge,totalt,16-64 år,totalt,6.0
